crimedescr,frequency
422 PC THREAT/INTENT TO TERROR,18
TELEPEST -I RPT,17
DAMAGE - I RPT,1
SHOOT INTO OCCUP DWELL - I RPT,2
BUSINESS PERMITS - I RPT,4
11379(A)HS SALE/TRAN CNTRL SUB,1
MISSING PERSON I RPT,24
211 PC  ROBBERY-BANK,1
240 PC ASSAULT/SIMPLE-CIVILIAN,3
215(A) PC    CARJACKING,18
602(K)TRESPASS:INJURE PROPERTY,4
1203.2 PC VIOLATION OF PROBATI,12
BATTERY - I RPT,35
653.22(A) LOITER PROSTITUTION,12
5150 WI DANGER SELF/OTHERS,106
BURGLARY - I RPT,21
14601.1(A) VC LIC SUSP OTHER,6
243(E)1 BATTERY NONCOHAB SPOUS,81
11357(B)HS POSS -28.5GR MARIJ,51
487(C) PC  GRAND THEFT-PERSON,4
MISSING PERSON,268
484 PC PETTY THEFT,82
ROBBERY - I RPT,12
CHILD CUSTODY - I RPT,10
290(A)(1)(D) FAIL TO REG-5 DAY,8
ELDER ABUSE/PHYS/MENTAL-I RPT,7
12420 PC SELL/TRANSP TEAR GAS,1
22435.2(A) BP POSS SHOP CART,7
487(D)GRAND THEFT FIREARM/ANIM,8
JUVENILE DISURBANCE - I RPT,7
11352(A)HS SALE/TRANS CNTL SUB,15
1708 US   THEFT OF MAIL,20
NEIGHBORHOOD DISTURBANCE-I RPT,15
IMPOUNDED VEHICLE,10
187(A)  HOMICIDE,1
290(F)1 W/I 5 DAYS ADD CHANGE,8
12500(A) VC UNLIC DRIVER,2
484 PC  PETTY THEFT AUTO PART,4
484G(A)PC USE FORGED CARD,6
11550(A)HS UNDER INFL NARCOTIC,4
FOUND EVIDENCE-NON NARC -I RPT,4
242 PC  BATTERY CIVILIAN,89
647(I) PEEPING TOM-INHAB DWELL,1
1551(A) FUGITIVE FROM JUSTICE,13
496(A) RECEIVE STOLEN PROPERTY,24
PETTY THEFT - I RPT,8
THREATS - I RPT,71
475(C) PASS FORGED NOTE,20
246 PC SHOOT OCCUP DWELL/VEH,17
290(G)(1) FAIL TO REG SEX OFFE,1
530 PC FALSE PERS. REC PROP,5
245(A)(2) AWDW/FIREARM/CIVILIA,22
148.9 PC FALSE ID TO OFFICER,13
POSSIBLE FINANCIAL CRIME-I RPT,14
247(B) PC SHOOT UNOCC BLDG/VEH,5
487(A) GRAND THEFT-CLOUT-UNLOC,11
LOST PROPERTY - I RPT,57
11352(B)HS TRANS SUBST TO CNTY,1
459 PC  BURGLARY-UNSPECIFIED,12
23220 VC DRINKING WHILE DRVING,1
11364 HS POSS DRUG PARAPH,99
O/S AGENCY -ASSISTANCE- I RPT,13
594(B)(2)(A) VANDALISM/ -$400,195
JUVENILE PROBLEMS - I RPT,8
211 PC ROBBERY- BUSINESS,38
11377(A)HS POSS AMPHETAMINES,58
12022.1 PC COMMIT FEL ON BAIL,3
12020(A)1) PROHIBITED FIREARM,10
484 PC   THEFT-LIC PLATE TABS,6
451(B) PC ARSON OF INHAB STRUC,3
487(A) GRAND THEFT-INSIDE,41
11357(C)HS POSS +28.5GR MARIJ,2
20002(A) HIT/RUN,103
484 PC-PETTY THEFT-COIN MACHIN,7
243(C)(1)BATT EMERG PERSON-INJ,1
451(D) PC  ARSON OF PROPERTY,10
459 PC  BURGLARY BUSINESS,135
CASUALTY REPORT,116
10851 VC AUTO THEFT LOCATE,223
WARRANT SERVED - I RPT,14
VANDALISM - I RPT,24
9.04.070 URINATE/DEFECATE PUB,1
MISSING PERSON LOCATE O/S ASSI,13
594(B)(1)PC  VANDALISM +$400,117
211 PC  ROBBERY UNSPECIFIED,99
