crimedesc,frequency
10851(A)VC TAKE VEH W/O OWNER,652
476 PC PASS FICTICIOUS CHECK,21
459 PC  BURGLARY-UNSPECIFIED,12
487(A) GRAND THEFT-INSIDE,41
TRAFFIC - I RPT,20
503 PC   EMBEZZLEMENT,4
484 PETTY THEFT/LICENSE PLATE,119
TOWED/STORED VEH-14602.6,463
TRAFFIC-ACCIDENT INJURY,182
243(D) PC BATT/CIVILIAN W/INJ,26
11351.5 HS POSS SALE RCK COCAI,8
475(C) PASS FORGED NOTE,20
11377(A)HS POSS AMPHETAMINES,58
484 PETTY THEFT CLOUT UNLOCKED,20
10851 VC AUTO THEFT LOCATE,223
BURGLARY - I RPT,21
11364 HS POSS DRUG PARAPH,99
484 PETTY THEFT-SHOPLIFT,86
487(D)GRAND THEFT FIREARM/ANIM,8
647(A) PC LEWD CONDUCT,1
422 PC THREAT/INTENT TO TERROR,18
245(A)(1)AWDW/NO FIREARM/CIVIL,76
529 PC FALSE PERSONATION,23
PETTY THEFT - I RPT,8
12420 PC SELL/TRANSP TEAR GAS,1
187(A)  HOMICIDE,1
WARRANT SERVED - I RPT,14
10855 VC LSE/RENT NOT RETURNED,3
JUVENILE PROBLEMS - I RPT,8
211 PC ROBBERY-PURSE SNATCH,20
11352(A)HS SALE/TRANS CNTL SUB,15
240 PC ASSAULT/SIMPLE-CIVILIAN,3
2800.2(A) VC EVADING/RECKLESS,5
647(F) PC PUB INTOX-DETOX ONLY,3
1203.2 PC VIOLATION OF PROBATI,12
647(F) PC DIP - DISORDERLY,25
FRAUD OR BUNCO - I RPT,19
SUSPICIOUS VEHICLE - I RPT,6
475(A)PC POSS FORGED CHK/NOTE,13
11359 HS POSS FOR SALE MARIJ,8
532 PC FRAUD OBTAIN MONEY ETC,4
12500(A) VC UNLIC DRIVER,2
ABC LICENSE VIO/INFO - I RPT,4
148.1(A)PC FALSE REPT OF BOMB,2
417(A)2) PC BRANDISH FIREARM,5
290(G)(1) FAIL TO REG SEX OFFE,1
CHILD CUSTODY - I RPT,10
12303.3 PC DEST DVC INTENT INJ,1
12403.7(G) PC ILLGL POSS TRGAS,1
451(D) PC  ARSON OF PROPERTY,10
484 PC   THEFT-LIC PLATE TABS,6
290(A)(1)(A) FAIL REG-CHG ADD,1
487(D) PC GRAND THEFT AUTO,1
12.72.060I ADULT LOITER PLYGRD,1
415(1) PC DISTURB PEACE/FIGHT,9
466 PC   POSS OF BURG TOOLS,6
537(A)(1) DEFRAUD INKEEP/-$400,3
243.2(A)(1) BATT/SCHOOL INJURY,14
368(D) THEFT-ELDER >400,3
TRAFFIC OFFENSE,3
415(3) PC DIST PEACE OFF WORDS,2
LOST PROPERTY-MATRICULA I RPT,1
243(B) PC  BATTERY - OFFICER,1
417.4 PC BRANDISH IMIT FIREARM,1
12303.3 PC FIRE BOMB INT INJ,1
FALSE PERSONATION - I RPT,1
587C PC EVADE PAYMENT RAILFARE,1
308(B) PC MINOR POSS TOBACCO,6
23110(B) VC THROW AT VEH W/INT,1
212.5(B) ROB-VICINITY OF ATM,1
10.48.150 E FALSIFY PKG PERMIT,1
374.4(A) LITTERING,2
4463(A)(1) VC ALTER REG,2
11378 HS POSS CNTRL SUB/SALE,1
243(C)2 PC BATT/PO WITH INJURY,1
FORGERY-PASSING COUNTERFEIT,1
603  FORCED ENTRY/PROP DAMAGE,2
25662(A)BP POSS ALC BY MINOR,1
32210 EC WILFL DISTURB PUB SCH,1
136.1(C)(1) PC DISSUADE V/W,1
368(C) CAUSE PAIN/INJ TO ELDER,1
530.5 PC USE PERSONAL ID INFO,65
459 PC  BURGLARY VEHICLE,462
1708 US   THEFT OF MAIL,20
SUSP PERS-NO CRIME - I RPT,44
484J PC PUBLISH CARD INFO,21
484 PC PETTY THEFT,82
SHOOT INTO OCCUP DWELL - I RPT,2
243(E)1 BATTERY NONCOHAB SPOUS,81
DUI I RPT,1
211 PC  ROBBERY UNSPECIFIED,99
245(A)(2) AWDW/FIREARM/CIVILIA,22
TOWED/STORED VEHICLE,434
506 PC EMBEZZLEMENT/CONTRACTOR,1
MISSING PERSON I RPT,24
O/S AGENCY -ASSISTANCE- I RPT,13
23153(A) VC DUI CAUSE INJURY,15
496(A) RECEIVE STOLEN PROPERTY,24
290(A)(1)(D) FAIL TO REG-5 DAY,8
215(A) PC    CARJACKING,18
9.04.050 A DRINKING IN PUBLIC,9
484 PC-PETTY THEFT-COIN MACHIN,7
417(A)1) PC BRANDISH NON-GUN,8
12022.1 PC COMMIT FEL ON BAIL,3
POSSIBLE FINANCIAL CRIME-I RPT,14
MISSING PERSON LOCATE O/S ASSI,13
4140 BP  POSS OF HYPO NEEDLE,16
11377(A)HS POSS CNTRL SUBST,2
11352(B)HS TRANS SUBST TO CNTY,1
11358 HS CULTIVATE MARIJUANA,1
508 PC   EMBEZZLEMENT/EMPLOYEE,3
487(C) PC  GRAND THEFT-PERSON,4
TERRORIST THREATS - I RPT,3
JUVENILE DISURBANCE - I RPT,7
247(B) PC SHOOT UNOCC BLDG/VEH,5
JUVENILE OFFENDER-PROBATION,1
243(C)(1)BATT EMERG PERSON-INJ,1
FOUND EVIDENCE-NON NARC -I RPT,4
11350(B)HS POSSESS QUAALUDES,9
849(B)(1) CERTIFICATE OF RELEA,4
CAR CLOUT -  I RPT,2
12025(A)1)CONCLD GUN VEH/FEL,1
4574(A)WEAPON/TEAR GAS IN JAIL,1
11357(E) MNR POSS MARIJ SCHOOL,3
278.5(A)DEPRIVE RIGHT OF CUSTO,1
32 PC ACCESSORY TO A CRIME,1
GRAFFITI PROBLEMS- I RPT,5
1705 US DESTRUCT OF MAIL RECEP,2
836.6(B) PC ESCAPE FROM ARREST,1
10852 VC VEHICLE TAMPERING,3
241(B) ASSAULT ON POLICE OFFIC,1
11366 HS MAINTN PLACE TO SELL,1
ABANDONED VEHICLE - I RPT,1
9.04.050C POSS OPEN CONTAINER,1
5.136.050 NO TAXICAB PERMIT,1
368(E) THEFT OF ELDER <$400,2
COLLISION/ACCIDENT BOATS,1
BAIT CAR 10851 VC TAKE VEHICLE,1
601(A) WI JUVENILE INCORRIGIBL,2
452(D)PC CAUSE FIRE OF PROPERT,1
10853 VC MALIC MISCHIEF TO VEH,2
498(B)(5) THEFT OF ELECTRICITY,1
602.5 PC ENTRY OF PROPERTY,1
TRAFFIC ARREST FOR DA-I RPT,1
WANTED SUBJ-O/S WANT/ I RPT,2
12671 HS SALE/POSS ILLGL FRWRK,1
243(B) BATTERY DR/NURSE/EMERG,1
484 PC   PETTY THEFT/INSIDE,99
484G(B) PC ACCESS CARD FRAUD,66
484 PC  PETTY THEFT/ OUTSIDE,48
653M(A) PC OBSCENE/THREAT CALL,17
FOUND PROPERTY - I RPT,81
THREATS - I RPT,71
CASUALTY REPORT,116
23152(A) VC DUI-ALCOHOL/DRUGS,84
246.3 PC NEGL DISCH FIREARM,2
TRAFFIC-ACCIDENT-NON INJURY,175
IMPOUNDED VEHICLE,10
653M(B) PC ANNOY/RPT CALL HOME,12
242 PC  BATTERY CIVILIAN,89
MISSING PERSON,268
